wavelength,T,empty1,empty2,empty3
216.1,0,,,
216.2,0,,,
216.3,0,,,
216.4,0,,,
216.5,0,,,
216.6,0,,,
216.7,0,,,
216.8,0,,,
216.9,0,,,
217,0,,,
217.1,0,,,
217.2,0,,,
217.3,0,,,
217.4,0,,,
217.5,0,,,
217.6,0,,,
217.7,0,,,
217.8,0,,,
217.9,0,,,
218,0,,,
218.1,0,,,
218.2,0,,,
218.3,0,,,
218.4,0,,,
218.5,0,,,
218.6,0,,,
218.7,0,,,
218.8,0,,,
218.9,0,,,
219,0,,,
219.1,0,,,
219.2,0,,,
219.3,0,,,
219.4,0,,,
219.5,0,,,
219.6,0,,,
219.7,0,,,
219.8,0,,,
219.9,0,,,
220,0,,,
220.1,0,,,
220.2,0,,,
220.3,0,,,
220.4,0,,,
220.5,0,,,
220.6,0,,,
220.7,0,,,
220.8,0,,,
220.9,0,,,
221,0,,,
221.1,0,,,
221.2,0,,,
221.3,0,,,
221.4,0,,,
221.5,0,,,
221.6,0,,,
221.7,0,,,
221.8,0,,,
221.9,0,,,
222,0,,,
222.1,0,,,
222.2,0,,,
222.3,0,,,
222.4,0,,,
222.5,0,,,
222.6,0,,,
222.7,0,,,
222.8,0,,,
222.9,0,,,
223,0,,,
223.1,0,,,
223.2,0,,,
223.3,0,,,
223.4,0,,,
223.5,0,,,
223.6,0,,,
223.7,0,,,
223.8,0,,,
223.9,0,,,
224,0,,,
224.1,0,,,
224.2,0,,,
224.3,0,,,
224.4,0,,,
224.5,0,,,
224.6,0,,,
224.7,0,,,
224.8,0,,,
224.9,0,,,
225,0,,,
225.1,0,,,
225.2,0,,,
225.3,0,,,
225.4,0,,,
225.5,0,,,
225.6,0,,,
225.7,0,,,
225.8,0,,,
225.9,0,,,
226,0,,,
226.1,0,,,
226.2,0,,,
226.3,0,,,
226.4,0,,,
226.5,0,,,
226.6,0,,,
226.7,0,,,
226.8,0,,,
226.9,0,,,
227,0,,,
227.1,0,,,
227.2,0,,,
227.3,0,,,
227.4,0,,,
227.5,0,,,
227.6,0,,,
227.7,0,,,
227.8,0,,,
227.9,0,,,
228,0,,,
228.1,0,,,
228.2,0,,,
228.3,0,,,
228.4,0,,,
228.5,0,,,
228.6,0,,,
228.7,0,,,
228.8,0,,,
228.9,0,,,
229,0,,,
229.1,0,,,
229.2,0,,,
229.3,0,,,
229.4,0,,,
229.5,0,,,
229.6,0,,,
229.7,0,,,
229.8,0,,,
229.9,0,,,
230,0,,,
230.1,0,,,
230.2,0,,,
230.3,0,,,
230.4,0,,,
230.5,0,,,
230.6,0,,,
230.7,0,,,
230.8,0,,,
230.9,0,,,
231,0,,,
231.1,0,,,
231.2,0,,,
231.3,0,,,
231.4,0,,,
231.5,0,,,
231.6,0,,,
231.7,0,,,
231.8,0,,,
231.9,0,,,
232,0,,,
232.1,0,,,
232.2,0,,,
232.3,0,,,
232.4,0,,,
232.5,0,,,
232.6,0,,,
232.7,0,,,
232.8,0,,,
232.9,0,,,
233,0,,,
233.1,0,,,
233.2,0,,,
233.3,0,,,
233.4,0,,,
233.5,0,,,
233.6,0,,,
233.7,0,,,
233.8,0,,,
233.9,0,,,
234,0,,,
234.1,0,,,
234.2,0,,,
234.3,0,,,
234.4,0,,,
234.5,0,,,
234.6,0,,,
234.7,0,,,
234.8,0,,,
234.9,0,,,
235,0,,,
235.1,0,,,
235.2,0,,,
235.3,0,,,
235.4,0,,,
235.5,0,,,
235.6,0,,,
235.7,0,,,
235.8,0,,,
235.9,0,,,
236,0,,,
236.1,0,,,
236.2,0,,,
236.3,0,,,
236.4,0,,,
236.5,0,,,
236.6,0,,,
236.7,0,,,
236.8,0,,,
236.9,0,,,
237,0,,,
237.1,0,,,
237.2,0,,,
237.3,0,,,
237.4,0,,,
237.5,0,,,
237.6,0,,,
237.7,0,,,
237.8,0,,,
237.9,0,,,
238,0,,,
238.1,0,,,
238.2,0,,,
238.3,0,,,
238.4,0,,,
238.5,0,,,
238.6,0,,,
238.7,0,,,
238.8,0,,,
238.9,0,,,
239,0,,,
239.1,0,,,
239.2,0,,,
239.3,0,,,
239.4,0,,,
239.5,0,,,
239.6,0,,,
239.7,0,,,
239.8,0,,,
239.9,0,,,
240,0,,,
240.1,0,,,
240.2,0,,,
240.3,0,,,
240.4,0,,,
240.5,0,,,
240.6,0,,,
240.7,0,,,
240.8,0,,,
240.9,0,,,
241,0,,,
241.1,0,,,
241.2,0,,,
241.3,0,,,
241.4,0,,,
241.5,0,,,
241.6,0,,,
241.7,0,,,
241.8,0,,,
241.9,0,,,
242,0,,,
242.1,0,,,
242.2,0,,,
242.3,0,,,
242.4,0,,,
242.5,0,,,
242.6,0,,,
242.7,0,,,
242.8,0,,,
242.9,0,,,
243,0,,,
243.1,0,,,
243.2,0,,,
243.3,0,,,
243.4,0,,,
243.5,0,,,
243.6,0,,,
243.7,0,,,
243.8,0,,,
243.9,0,,,
244,0,,,
244.1,0,,,
244.2,0,,,
244.3,0,,,
244.4,0,,,
244.5,0,,,
244.6,0,,,
244.7,0,,,
244.8,0,,,
244.9,0,,,
245,0,,,
245.1,0,,,
245.2,0,,,
245.3,0,,,
245.4,0,,,
245.5,0,,,
245.6,0,,,
245.7,0,,,
245.8,0,,,
245.9,0,,,
246,0,,,
246.1,0,,,
246.2,0,,,
246.3,0,,,
246.4,0,,,
246.5,0,,,
246.6,0,,,
246.7,0,,,
246.8,0,,,
246.9,0,,,
247,0,,,
247.1,0,,,
247.2,0,,,
247.3,0,,,
247.4,0,,,
247.5,0,,,
247.6,0,,,
247.7,0,,,
247.8,0,,,
247.9,0,,,
248,0,,,
248.1,0,,,
248.2,0,,,
248.3,0,,,
248.4,0,,,
248.5,0,,,
248.6,0,,,
248.7,0,,,
248.8,0,,,
248.9,0,,,
249,0,,,
249.1,0,,,
249.2,0,,,
249.3,0,,,
249.4,0,,,
249.5,0,,,
249.6,0,,,
249.7,0,,,
249.8,0,,,
249.9,0,,,
250,0,,,
250.1,0,,,
250.2,0,,,
250.3,0,,,
250.4,0,,,
250.5,0,,,
250.6,0,,,
250.7,0,,,
250.8,0,,,
250.9,0,,,
251,0,,,
251.1,0,,,
251.2,0,,,
251.3,0,,,
251.4,0,,,
251.5,0,,,
251.6,0,,,
251.7,0,,,
251.8,0,,,
251.9,0,,,
252,0,,,
252.1,0,,,
252.2,0,,,
252.3,0,,,
252.4,0,,,
252.5,0,,,
252.6,0,,,
252.7,0,,,
252.8,0,,,
252.9,0,,,
253,0,,,
253.1,0,,,
253.2,0,,,
253.3,0,,,
253.4,0,,,
253.5,0,,,
253.6,0,,,
253.7,0,,,
253.8,0,,,
253.9,0,,,
254,0,,,
254.1,0,,,
254.2,0,,,
254.3,0,,,
254.4,0,,,
254.5,0,,,
254.6,0,,,
254.7,0,,,
254.8,0,,,
254.9,0,,,
255,0,,,
255.1,0,,,
255.2,0,,,
255.3,0,,,
255.4,0,,,
255.5,0,,,
255.6,0,,,
255.7,0,,,
255.8,0,,,
255.9,0,,,
256,0,,,
256.1,0,,,
256.2,0,,,
256.3,0,,,
256.4,0,,,
256.5,0,,,
256.6,0,,,
256.7,0,,,
256.8,0,,,
256.9,0,,,
257,0,,,
257.1,0,,,
257.2,0,,,
257.3,0,,,
257.4,0,,,
257.5,0,,,
257.6,0,,,
257.7,0,,,
257.8,0,,,
257.9,0,,,
258,0,,,
258.1,0,,,
258.2,0,,,
258.3,0,,,
258.4,0,,,
258.5,0,,,
258.6,0,,,
258.7,0,,,
258.8,0,,,
258.9,0,,,
259,0,,,
259.1,0,,,
259.2,0,,,
259.3,0,,,
259.4,0,,,
259.5,0,,,
259.6,0,,,
259.7,0,,,
259.8,0,,,
259.9,0,,,
260,0,,,
260.1,0,,,
260.2,0,,,
260.3,0,,,
260.4,0,,,
260.5,0,,,
260.6,0,,,
260.7,0,,,
260.8,0,,,
260.9,0,,,
261,0,,,
261.1,0,,,
261.2,0,,,
261.3,0,,,
261.4,0,,,
261.5,0,,,
261.6,0,,,
261.7,0,,,
261.8,0,,,
261.9,0,,,
262,0,,,
262.1,0,,,
262.2,0,,,
262.3,0,,,
262.4,0,,,
262.5,0,,,
262.6,0,,,
262.7,0,,,
262.8,0,,,
262.9,0,,,
263,0,,,
263.1,0,,,
263.2,0,,,
263.3,0,,,
263.4,0,,,
263.5,0,,,
263.6,0,,,
263.7,0,,,
263.8,0,,,
263.9,0,,,
264,0,,,
264.1,0,,,
264.2,0,,,
264.3,0,,,
264.4,0,,,
264.5,0,,,
264.6,0,,,
264.7,0,,,
264.8,0,,,
264.9,0,,,
265,0,,,
265.1,0,,,
265.2,0,,,
265.3,0,,,
265.4,0,,,
265.5,0,,,
265.6,0,,,
265.7,0,,,
265.8,0,,,
265.9,0,,,
266,0,,,
266.1,0,,,
266.2,0,,,
266.3,0,,,
266.4,0,,,
266.5,0,,,
266.6,0,,,
266.7,0,,,
266.8,0,,,
266.9,0,,,
267,0,,,
267.1,0,,,
267.2,0,,,
267.3,0,,,
267.4,0,,,
267.5,0,,,
267.6,0,,,
267.7,0,,,
267.8,0,,,
267.9,0,,,
268,0,,,
268.1,0,,,
268.2,0,,,
268.3,0,,,
268.4,0,,,
268.5,0,,,
268.6,0,,,
268.7,0,,,
268.8,0,,,
268.9,0,,,
269,0,,,
269.1,0,,,
269.2,0,,,
269.3,0,,,
269.4,0,,,
269.5,0,,,
269.6,0,,,
269.7,0,,,
269.8,0,,,
269.9,0,,,
270,0,,,
270.1,0,,,
270.2,0,,,
270.3,0,,,
270.4,0,,,
270.5,0,,,
270.6,0,,,
270.7,0,,,
270.8,0,,,
270.9,0,,,
271,0,,,
271.1,0,,,
271.2,0,,,
271.3,0,,,
271.4,0,,,
271.5,0,,,
271.6,0,,,
271.7,0,,,
271.8,0,,,
271.9,0,,,
272,0,,,
272.1,0,,,
272.2,0,,,
272.3,0,,,
272.4,0,,,
272.5,0,,,
272.6,0,,,
272.7,0,,,
272.8,0,,,
272.9,0,,,
273,0,,,
273.1,0,,,
273.2,0,,,
273.3,0,,,
273.4,0,,,
273.5,0,,,
273.6,0,,,
273.7,0,,,
273.8,0,,,
273.9,0,,,
274,0,,,
274.1,0,,,
274.2,0,,,
274.3,0,,,
274.4,0,,,
274.5,0,,,
274.6,0,,,
274.7,0,,,
274.8,0,,,
274.9,0,,,
275,0,,,
275.1,0,,,
275.2,0,,,
275.3,0,,,
275.4,0,,,
275.5,0,,,
275.6,0,,,
275.7,0,,,
275.8,0,,,
275.9,0,,,
276,0,,,
276.1,0,,,
276.2,0,,,
276.3,0,,,
276.4,0,,,
276.5,0,,,
276.6,0,,,
276.7,0,,,
276.8,0,,,
276.9,0,,,
277,0,,,
277.1,0,,,
277.2,0,,,
277.3,0,,,
277.4,0,,,
277.5,0,,,
277.6,0,,,
277.7,0,,,
277.8,0,,,
277.9,0,,,
278,0,,,
278.1,0,,,
278.2,0,,,
278.3,0,,,
278.4,0,,,
278.5,0,,,
278.6,0,,,
278.7,0,,,
278.8,0,,,
278.9,0,,,
279,0,,,
279.1,0,,,
279.2,0,,,
279.3,0,,,
279.4,0,,,
279.5,0,,,
279.6,0,,,
279.7,0,,,
279.8,0,,,
279.9,0,,,
280,0,,,
280.1,0,,,
280.2,0,,,
280.3,0,,,
280.4,0,,,
280.5,0,,,
280.6,0,,,
280.7,0,,,
280.8,0,,,
280.9,0,,,
281,0,,,
281.1,0,,,
281.2,0,,,
281.3,0,,,
281.4,0,,,
281.5,0,,,
281.6,0,,,
281.7,0,,,
281.8,0,,,
281.9,0,,,
282,0,,,
282.1,0,,,
282.2,0,,,
282.3,0,,,
282.4,0,,,
282.5,0,,,
282.6,0,,,
282.7,0,,,
282.8,0,,,
282.9,0,,,
283,0,,,
283.1,0,,,
283.2,0,,,
283.3,0,,,
283.4,0,,,
283.5,0,,,
283.6,0,,,
283.7,0,,,
283.8,0,,,
283.9,0,,,
284,0,,,
284.1,0,,,
284.2,0,,,
284.3,0,,,
284.4,0,,,
284.5,0,,,
284.6,0,,,
284.7,0,,,
284.8,0,,,
284.9,0,,,
285,0,,,
285.1,0,,,
285.2,0,,,
285.3,0,,,
285.4,0,,,
285.5,0,,,
285.6,0,,,
285.7,0,,,
285.8,0,,,
285.9,0,,,
286,0,,,
286.1,0,,,
286.2,0,,,
286.3,0,,,
286.4,0,,,
286.5,0,,,
286.6,0,,,
286.7,0,,,
286.8,0,,,
286.9,0,,,
287,0,,,
287.1,0,,,
287.2,0,,,
287.3,0,,,
287.4,0,,,
287.5,0,,,
287.6,0,,,
287.7,0,,,
287.8,0,,,
287.9,0,,,
288,0,,,
288.1,0,,,
288.2,0,,,
288.3,0,,,
288.4,0,,,
288.5,0,,,
288.6,0,,,
288.7,0,,,
288.8,0,,,
288.9,0,,,
289,0,,,
289.1,0,,,
289.2,0,,,
289.3,0,,,
289.4,0,,,
289.5,0,,,
289.6,0,,,
289.7,0,,,
289.8,0,,,
289.9,0,,,
290,0,,,
290.1,0,,,
290.2,0,,,
290.3,0,,,
290.4,0,,,
290.5,0,,,
290.6,0,,,
290.7,0,,,
290.8,0,,,
290.9,0,,,
291,0,,,
291.1,0,,,
291.2,0,,,
291.3,0,,,
291.4,0,,,
291.5,0,,,
291.6,0,,,
291.7,0,,,
291.8,0,,,
291.9,0,,,
292,0,,,
292.1,0,,,
292.2,0,,,
292.3,0,,,
292.4,0,,,
292.5,0,,,
292.6,0,,,
292.7,0,,,
292.8,0,,,
292.9,0,,,
293,0,,,
293.1,0,,,
293.2,0,,,
293.3,0,,,
293.4,0,,,
293.5,0,,,
293.6,0,,,
293.7,0,,,
293.8,0,,,
293.9,0,,,
294,0,,,
294.1,0,,,
294.2,0,,,
294.3,0,,,
294.4,0,,,
294.5,0,,,
294.6,0,,,
294.7,0.00000001,,,
294.8,0.00000001,,,
294.9,0.00000002,,,
295,0.00000002,,,
295.1,0.00000003,,,
295.2,0.00000005,,,
295.3,0.00000007,,,
295.4,0.0000001,,,
295.5,0.00000013,,,
295.6,0.00000017,,,
295.7,0.00000021,,,
295.8,0.00000027,,,
295.9,0.00000034,,,
296,0.00000042,,,
296.1,0.00000051,,,
296.2,0.00000063,,,
296.3,0.00000076,,,
296.4,0.00000093,,,
296.5,0.00000112,,,
296.6,0.00000135,,,
296.7,0.00000162,,,
296.8,0.00000195,,,
296.9,0.00000229,,,
297,0.00000275,,,
297.1,0.00000331,,,
297.2,0.00000398,,,
297.3,0.00000468,,,
297.4,0.00000562,,,
297.5,0.00000661,,,
297.6,0.00000794,,,
297.7,0.00000955,,,
297.8,0.00001122,,,
297.9,0.00001349,,,
298,0.00001622,,,
298.1,0.00001905,,,
298.2,0.00002291,,,
298.3,0.00002754,,,
298.4,0.00003236,,,
298.5,0.0000389,,,
298.6,0.00004677,,,
298.7,0.00005623,,,
298.8,0.00006761,,,
298.9,0.00008128,,,
299,0.00009772,,,
299.1,0.00011749,,,
299.2,0.00014125,,,
299.3,0.00016982,,,
299.4,0.00020417,,,
299.5,0.00025119,,,
299.6,0.000302,,,
299.7,0.00036308,,,
299.8,0.00044668,,,
299.9,0.00053703,,,
300,0.00066069,,,
300.1,0.00075858,,,
300.2,0.00087096,,,
300.3,0.001,,,
300.4,0.00114815,,,
300.5,0.00131826,,,
300.6,0.00151356,,,
300.7,0.0017378,,,
300.8,0.00204174,,,
300.9,0.00234423,,,
301,0.00269153,,,
301.1,0.00316228,,,
301.2,0.00371535,,,
301.3,0.0042658,,,
301.4,0.00501187,,,
301.5,0.00588844,,,
301.6,0.00691831,,,
301.7,0.00812831,,,
301.8,0.00954993,,,
301.9,0.01122018,,,
302,0.01348963,,,
302.1,0.01584893,,,
302.2,0.01905461,,,
302.3,0.02290868,,,
302.4,0.02691535,,,
302.5,0.03235937,,,
302.6,0.03890451,,,
302.7,0.04786301,,,
302.8,0.05754399,,,
302.9,0.0691831,,,
303,0.0851138,,,
303.1,0.10471285,,,
303.2,0.12882496,,,
303.3,0.15848932,,,
303.4,0.19498446,,,
303.5,0.23988329,,,
303.6,0.30199517,,,
303.7,0.37153523,,,
303.8,0.46773514,,,
303.9,0.58884366,,,
304,0.74131024,,,
304.1,0.95499259,,,
304.2,1.20226443,,,
304.3,1.54881662,,,
304.4,1.9498446,,,
304.5,2.51188643,,,
304.6,3.23593657,,,
304.7,4.16869383,,,
304.8,5.2480746,,,
304.9,6.76082975,,,
305,8.51138038,,,
305.1,10.64143018,,,
305.2,13.15224832,,,
305.3,15.92208727,,,
305.4,18.96705921,,,
305.5,22.08004733,,,
305.6,25.23480772,,,
305.7,28.18382931,,,
305.8,30.8318795,,,
305.9,33.26595533,,,
306,35.31831698,,,
306.1,37.06807218,,,
306.2,38.63669771,,,
306.3,39.99447498,,,
306.4,41.3047502,,,
306.5,42.46195639,,,
306.6,43.55118737,,,
306.7,44.56562484,,,
306.8,45.6036916,,,
306.9,46.55860935,,,
307,47.42419853,,,
307.1,48.41723676,,,
307.2,49.4310687,,,
307.3,50.46612976,,,
307.4,51.40436516,,,
307.5,52.48074602,,,
307.6,52.96634439,,,
307.7,53.45643594,,,
307.8,53.95106225,,,
307.9,54.32503315,,,
308,54.70159629,,,
308.1,55.20774393,,,
308.2,55.71857489,,,
308.3,56.23413252,,,
308.4,56.6239289,,,
308.5,57.14786367,,,
308.6,57.54399373,,,
308.7,57.94286964,,,
308.8,58.34451043,,,
308.9,58.74893525,,,
309,59.29253246,,,
309.1,59.70352866,,,
309.2,60.25595861,,,
309.3,60.67363296,,,
309.4,61.09420249,,,
309.5,61.51768727,,,
309.6,61.94410751,,,
309.7,62.23002852,,,
309.8,62.66138647,,,
309.9,63.09573445,,,
310,63.53309319,,,
310.1,63.97348355,,,
310.2,64.41692655,,,
310.3,64.86344335,,,
310.4,65.31305526,,,
310.5,65.76578374,,,
310.6,66.0693448,,,
310.7,66.52731562,,,
310.8,66.98846094,,,
310.9,67.45280277,,,
311,67.92036326,,,
311.1,68.39116473,,,
311.2,68.86522963,,,
311.3,69.18309709,,,
311.4,69.66265141,,,
311.5,69.9841996,,,
311.6,70.30723199,,,
311.7,70.79457844,,,
311.8,71.28530301,,,
311.9,71.77942913,,,
312,72.27698036,,,
312.1,72.44359601,,,
312.2,72.44359601,,,
312.3,72.44359601,,,
312.4,72.44359601,,,
312.5,72.44359601,,,
312.6,72.44359601,,,
312.7,72.44359601,,,
312.8,72.61059574,,,
312.9,72.77798045,,,
313,72.77798045,,,
313.1,72.94575103,,,
313.2,72.94575103,,,
313.3,72.94575103,,,
313.4,72.94575103,,,
313.5,72.94575103,,,
313.6,73.11390835,,,
313.7,73.11390835,,,
313.8,73.11390835,,,
313.9,73.11390835,,,
314,72.77798045,,,
314.1,72.27698036,,,
314.2,71.61434102,,,
314.3,70.4693069,,,
314.4,68.86522963,,,
314.5,66.68067692,,,
314.6,63.97348355,,,
314.7,60.67363296,,,
314.8,56.6239289,,,
314.9,51.88000389,,,
315,46.77351413,,,
315.1,41.68693835,,,
315.2,36.64375746,,,
315.3,31.84197522,,,
315.4,27.28977783,,,
315.5,23.22736796,,,
315.6,19.58844674,,,
315.7,16.40589773,,,
315.8,13.70881766,,,
315.9,11.40249788,,,
316,9.54992586,,,
316.1,7.94328235,,,
316.2,6.60693448,,,
316.3,5.49540874,,,
316.4,4.5708819,,,
316.5,3.80189396,,,
316.6,3.16227766,,,
316.7,2.6915348,,,
316.8,2.23872114,,,
316.9,1.90546072,,,
317,1.6218101,,,
317.1,1.34896288,,,
317.2,1.14815362,,,
317.3,1,,,
317.4,0.85113804,,,
317.5,0.72443596,,,
317.6,0.63095734,,,
317.7,0.5370318,,,
317.8,0.46773514,,,
317.9,0.40738028,,,
318,0.34673685,,,
318.1,0.30199517,,,
318.2,0.2630268,,,
318.3,0.23442288,,,
318.4,0.20417379,,,
318.5,0.17782794,,,
318.6,0.15848932,,,
318.7,0.13803843,,,
318.8,0.12302688,,,
318.9,0.10964782,,,
319,0.09549926,,,
319.1,0.0851138,,,
319.2,0.07585776,,,
319.3,0.0676083,,,
319.4,0.06025596,,,
319.5,0.05370318,,,
319.6,0.04897788,,,
319.7,0.04365158,,,
319.8,0.03890451,,,
319.9,0.03548134,,,
320,0.03162278,,,
320.1,0.02884032,,,
320.2,0.02570396,,,
320.3,0.02344229,,,
320.4,0.02137962,,,
320.5,0.01905461,,,
320.6,0.01737801,,,
320.7,0.01584893,,,
320.8,0.0144544,,,
320.9,0.01318257,,,
321,0.01202264,,,
321.1,0.01096478,,,
321.2,0.01,,,
321.3,0.00933254,,,
321.4,0.00851138,,,
321.5,0.00776247,,,
321.6,0.00707946,,,
321.7,0.00660693,,,
321.8,0.0060256,,,
321.9,0.00562341,,,
322,0.00512861,,,
322.1,0.0047863,,,
322.2,0.00446684,,,
322.3,0.0040738,,,
322.4,0.00380189,,,
322.5,0.00354813,,,
322.6,0.00323594,,,
322.7,0.00301995,,,
322.8,0.00281838,,,
322.9,0.00263027,,,
323,0.00245471,,,
323.1,0.00229087,,,
323.2,0.00213796,,,
323.3,0.00199526,,,
323.4,0.00186209,,,
323.5,0.0017378,,,
323.6,0.00162181,,,
323.7,0.00151356,,,
323.8,0.00144544,,,
323.9,0.00134896,,,
324,0.00125893,,,
324.1,0.00120226,,,
324.2,0.00112202,,,
324.3,0.00104713,,,
324.4,0.001,,,
324.5,0.00093325,,,
324.6,0.00089125,,,
324.7,0.00083176,,,
324.8,0.00079433,,,
324.9,0.00074131,,,
325,0.00070795,,,
325.1,0.00066069,,,
325.2,0.00063096,,,
325.3,0.00060256,,,
325.4,0.00056234,,,
325.5,0.00053703,,,
325.6,0.00051286,,,
325.7,0.00048978,,,
325.8,0.00045709,,,
325.9,0.00043652,,,
326,0.00040738,,,
326.1,0.00038905,,,
326.2,0.00036308,,,
326.3,0.00033113,,,
326.4,0.00030903,,,
326.5,0.00027542,,,
326.6,0.00024547,,,
326.7,0.00021878,,,
326.8,0.00019055,,,
326.9,0.00016218,,,
327,0.00014125,,,
327.1,0.00012023,,,
327.2,0.0001,,,
327.3,0.00008511,,,
327.4,0.00007079,,,
327.5,0.00006026,,,
327.6,0.00005129,,,
327.7,0.00004365,,,
327.8,0.00003802,,,
327.9,0.00003311,,,
328,0.00002884,,,
328.1,0.0000263,,,
328.2,0.00002399,,,
328.3,0.00002239,,,
328.4,0.00002138,,,
328.5,0.00002089,,,
328.6,0.00002089,,,
328.7,0.00002188,,,
328.8,0.00002344,,,
328.9,0.0000257,,,
329,0.00002884,,,
329.1,0.00003388,,,
329.2,0.00004074,,,
329.3,0.00004898,,,
329.4,0.00006026,,,
329.5,0.00007244,,,
329.6,0.00008128,,,
329.7,0.0000871,,,
329.8,0.00008511,,,
329.9,0.00008128,,,
330,0.00007413,,,
330.1,0.00006918,,,
330.2,0.00006607,,,
330.3,0.0000631,,,
330.4,0.0000631,,,
330.5,0.0000631,,,
330.6,0.00006457,,,
330.7,0.00006607,,,
330.8,0.00006761,,,
330.9,0.00006607,,,
331,0.00006457,,,
331.1,0.00006166,,,
331.2,0.00005888,,,
331.3,0.00005623,,,
331.4,0.0000537,,,
331.5,0.00005129,,,
331.6,0.00005012,,,
331.7,0.00005012,,,
331.8,0.00005012,,,
331.9,0.00005012,,,
332,0.00005012,,,
332.1,0.00005129,,,
332.2,0.00005012,,,
332.3,0.00004898,,,
332.4,0.00004786,,,
332.5,0.00004571,,,
332.6,0.00004266,,,
332.7,0.00003981,,,
332.8,0.00003631,,,
332.9,0.00003311,,,
333,0.00002951,,,
333.1,0.00002692,,,
333.2,0.00002399,,,
333.3,0.00002188,,,
333.4,0.00001995,,,
333.5,0.0000182,,,
333.6,0.00001698,,,
333.7,0.00001622,,,
333.8,0.00001585,,,
333.9,0.00001585,,,
334,0.00001585,,,
334.1,0.00001622,,,
334.2,0.0000166,,,
334.3,0.00001738,,,
334.4,0.00001778,,,
334.5,0.00001862,,,
334.6,0.00001905,,,
334.7,0.0000195,,,
334.8,0.00002042,,,
334.9,0.00002089,,,
335,0.00002138,,,
335.1,0.00002188,,,
335.2,0.00002239,,,
335.3,0.00002344,,,
335.4,0.00002399,,,
335.5,0.00002455,,,
335.6,0.00002512,,,
335.7,0.0000257,,,
335.8,0.00002512,,,
335.9,0.00002455,,,
336,0.00002399,,,
336.1,0.00002291,,,
336.2,0.00002239,,,
336.3,0.00002188,,,
336.4,0.00002138,,,
336.5,0.00002089,,,
336.6,0.00002138,,,
336.7,0.00002138,,,
336.8,0.00002188,,,
336.9,0.00002188,,,
337,0.00002239,,,
337.1,0.00002239,,,
337.2,0.00002188,,,
337.3,0.00002138,,,
337.4,0.00002089,,,
337.5,0.00002042,,,
337.6,0.0000195,,,
337.7,0.00001862,,,
337.8,0.0000182,,,
337.9,0.00001778,,,
338,0.00001778,,,
338.1,0.00001738,,,
338.2,0.00001738,,,
338.3,0.00001738,,,
338.4,0.00001738,,,
338.5,0.00001738,,,
338.6,0.00001738,,,
